epoch,lr,train_loss,train_f1,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1
1,0.0003,0.43038876391947267,0.8534250976799059,0.20341134899192387,0.9756944444444444,0.9770378874856487,0.9773256274637983,0.9756944444444444,0.9756882213660627
2,0.0003,0.22360868155956268,0.9679578509929456,0.18279078271653917,0.9826388888888888,0.9834481438959051,0.9834092941487308,0.9826388888888888,0.9826405849138212
3,0.0003,0.1945968098938465,0.9793007657399793,0.1523425214820438,0.9930555555555556,0.9931506849315068,0.9932291666666667,0.9930555555555556,0.9930512824269417
4,0.0003,0.19111329279839992,0.9824151022953214,0.15008510814772713,0.9930555555555556,0.9932234432234432,0.9931535395689808,0.9930555555555556,0.9930565351926881
5,0.0003,0.17731951586902142,0.9843686801005385,0.14848249653975168,0.9930555555555556,0.9928439991821714,0.9931484122739249,0.9930555555555556,0.9930538997857925
6,0.0003,0.17830728311091662,0.9867197256862734,0.1477176778846317,0.9965277777777778,0.9965753424657534,0.9965717299578059,0.9965277777777778,0.9965268626302559
7,0.0003,0.16842379365116358,0.9906212974814272,0.14414428505632612,0.9965277777777778,0.9967948717948718,0.9965746996996998,0.9965277777777778,0.9965283873405993
8,0.0003,0.16321350652724503,0.9910157773554147,0.15269264744387734,0.9965277777777778,0.9962686567164178,0.9965766823161188,0.9965277777777778,0.9965270371555365
9,0.0003,0.1714545376598835,0.9882849888349003,0.15606417920854357,0.9930555555555556,0.9935897435897436,0.9932407407407408,0.9930555555555556,0.9930573836823837
10,0.0003,0.1618041254580021,0.9937491397520832,0.13962929281923506,1.0,1.0,1.0,1.0,1.0
11,0.0003,0.15390759911388158,0.9957031902951778,0.14037257101800707,1.0,1.0,1.0,1.0,1.0
12,0.0003,0.15602144058793782,0.995312712864876,0.14064950744311014,1.0,1.0,1.0,1.0,1.0
13,0.0003,0.15681515112519265,0.9929677947824841,0.14518964456187355,0.9965277777777778,0.9962686567164178,0.9965766823161188,0.9965277777777778,0.9965270371555365
14,0.00015,0.1600595699623227,0.9914063907842697,0.16417493919531503,0.9895833333333334,0.9898584003061615,0.9898174230568597,0.9895833333333334,0.9895844208379203
15,0.00015,0.1558036394417286,0.9949214606946161,0.14002008901702034,0.9965277777777778,0.9962686567164178,0.9965766823161188,0.9965277777777778,0.9965270371555365
16,0.00015,0.1560468602925539,0.9929684960446823,0.1375281678305732,1.0,1.0,1.0,1.0,1.0
17,0.00015,0.14704640451818704,0.996484363428855,0.13763068947527143,1.0,1.0,1.0,1.0,1.0
18,7.5e-05,0.14911173712462186,0.9972655710366564,0.13660923805501726,1.0,1.0,1.0,1.0,1.0
19,7.5e-05,0.1532529452815652,0.9941406360667688,0.13599095245202383,1.0,1.0,1.0,1.0,1.0
20,7.5e-05,0.14951280560344457,0.9953125,0.1357476595375273,1.0,1.0,1.0,1.0,1.0
