epoch,lr,train_loss,train_f1,train_recall,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_roc_auc
1,0.0001,0.6244481070475145,0.625,0.7142857142857143,0.6015077829360962,0.7,0.75,0.5714285714285714,1.0,0.7272727272727273,0.9166666666666667
2,0.0001,0.40778839317235077,0.8333333333333334,0.9523809523809523,0.4569053053855896,0.8,0.8333333333333333,0.6666666666666666,1.0,0.8,1.0
3,0.0001,0.37757631594484503,0.7466666666666667,0.6666666666666666,0.4880412817001343,0.8,0.8333333333333333,0.6666666666666666,1.0,0.8,1.0
4,0.0001,0.38879177245226776,0.7872340425531915,0.8809523809523809,0.47791963815689087,0.8,0.8333333333333333,0.6666666666666666,1.0,0.8,1.0
5,0.0001,0.3150317966938019,0.8735632183908046,0.9047619047619048,0.36228570342063904,0.9,0.9166666666666667,0.8,1.0,0.8888888888888888,1.0
6,0.0001,0.21799563413316553,0.9318181818181818,0.9761904761904762,0.21304655075073242,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0001,0.14611779017881912,0.963855421686747,0.9523809523809523,0.10344568267464638,1.0,1.0,1.0,1.0,1.0,1.0
8,0.0001,0.14938313310796564,0.9534883720930233,0.9761904761904762,0.12699294835329056,0.9,0.9166666666666667,0.8,1.0,0.8888888888888888,1.0
9,0.0001,0.10717157274484634,0.9879518072289156,0.9761904761904762,0.32894786447286606,0.8,0.8333333333333333,0.6666666666666666,1.0,0.8,1.0
10,0.0001,0.10884256931868466,0.9882352941176471,1.0,0.13581765070557594,0.9,0.9166666666666667,0.8,1.0,0.8888888888888888,1.0
11,5e-05,0.08349212123589082,1.0,1.0,0.3125772550702095,0.8,0.8333333333333333,0.6666666666666666,1.0,0.8,1.0
12,5e-05,0.11069440638477152,0.9879518072289156,0.9761904761904762,0.12190699204802513,0.9,0.9166666666666667,0.8,1.0,0.8888888888888888,1.0
13,5e-05,0.08760887790809978,1.0,1.0,0.712767131626606,0.8,0.8333333333333333,0.6666666666666666,1.0,0.8,1.0
14,5e-05,0.08851431242444298,1.0,1.0,0.13081078603863716,0.9,0.9166666666666667,0.8,1.0,0.8888888888888888,1.0
15,5e-05,0.09385239061984149,0.9879518072289156,0.9761904761904762,0.5918069407343864,0.8,0.8333333333333333,0.6666666666666666,1.0,0.8,1.0
16,2.5e-05,0.08176074380224402,1.0,1.0,0.21401744335889816,0.9,0.9166666666666667,0.8,1.0,0.8888888888888888,1.0
17,2.5e-05,0.08089768683368509,1.0,1.0,0.18808020651340485,0.9,0.9166666666666667,0.8,1.0,0.8888888888888888,1.0
18,2.5e-05,0.0810006084767255,1.0,1.0,0.2646084204316139,0.9,0.9166666666666667,0.8,1.0,0.8888888888888888,1.0
19,2.5e-05,0.0803330960598859,1.0,1.0,0.5996880456805229,0.8,0.8333333333333333,0.6666666666666666,1.0,0.8,1.0
