epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,24386.3,0.45177,0.74812,1.21756,0.9287,0.93174,0.9781,0.86832,0.54224,0.42794,0.98456,0.00643101,0.00643101,0.00643101
43,24960.9,0.43495,0.73296,1.1998,0.90942,0.90872,0.97674,0.8622,0.50277,0.44422,0.94046,0.00628101,0.00628101,0.00628101
44,25535.5,0.43508,0.7394,1.20846,0.94667,0.97112,0.98721,0.85933,0.50434,0.37247,0.9763,0.00612981,0.00612981,0.00612981
45,26104.4,0.44116,0.72583,1.20825,0.91712,0.9596,0.97613,0.88112,0.50719,0.41885,0.97979,0.00597754,0.00597754,0.00597754
46,26668.3,0.42717,0.69837,1.19234,0.94025,0.96039,0.98809,0.85072,0.59465,0.40704,1.08994,0.00582435,0.00582435,0.00582435
47,27242.6,0.43064,0.70613,1.20176,0.9715,0.95378,0.99046,0.89548,0.49649,0.4019,0.94774,0.0056704,0.0056704,0.0056704
48,27819.6,0.42104,0.69989,1.19333,0.95961,0.96266,0.98619,0.89266,0.52301,0.57882,0.95843,0.00551584,0.00551584,0.00551584
49,28392.2,0.43039,0.70887,1.2001,0.96315,0.91576,0.99172,0.89882,0.49758,0.39446,0.94543,0.00536081,0.00536081,0.00536081
50,28965.1,0.42445,0.68648,1.20002,0.92489,0.95607,0.99134,0.89924,0.48521,0.438,0.91927,0.00520548,0.00520548,0.00520548
51,29539.6,0.40721,0.66851,1.18549,0.98351,0.95578,0.99158,0.8958,0.49001,0.34565,0.93176,0.00505,0.00505,0.00505
52,30257.4,0.4156,0.66392,1.18918,0.95213,0.95927,0.9919,0.89661,0.4684,0.35735,0.91089,0.00489452,0.00489452,0.00489452
53,30835.5,0.41378,0.6774,1.18998,0.96884,0.96236,0.98595,0.90266,0.49085,0.38146,0.91365,0.00473919,0.00473919,0.00473919
54,31417.8,0.41625,0.65494,1.19536,0.97652,0.97805,0.99308,0.91087,0.48504,0.39965,0.93412,0.00458416,0.00458416,0.00458416
55,31995.6,0.40499,0.65595,1.18389,0.95809,0.95739,0.98937,0.87306,0.54442,0.52746,0.95464,0.0044296,0.0044296,0.0044296
56,32573.9,0.39878,0.65739,1.1731,0.95085,0.97491,0.9893,0.89201,0.50903,0.41579,0.93781,0.00427565,0.00427565,0.00427565
57,33159.3,0.4072,0.64853,1.18252,0.96634,0.95801,0.98854,0.89841,0.49615,0.40453,0.91121,0.00412246,0.00412246,0.00412246
58,33738.2,0.39917,0.64333,1.17661,0.95726,0.97098,0.99443,0.88691,0.49555,0.3934,0.91282,0.00397019,0.00397019,0.00397019
59,34323.4,0.3924,0.62743,1.16984,0.97655,0.9689,0.9931,0.8871,0.5008,0.43113,0.92229,0.00381899,0.00381899,0.00381899
60,34903.6,0.39187,0.61726,1.17272,0.98581,0.99029,0.99437,0.89149,0.51602,0.36214,0.92559,0.00366899,0.00366899,0.00366899
61,35487.7,0.40039,0.62056,1.18193,0.99238,0.98843,0.99412,0.898,0.51476,0.40416,0.89677,0.00352037,0.00352037,0.00352037
62,36069.9,0.39141,0.61977,1.17415,0.99323,0.99643,0.99486,0.90395,0.48613,0.41047,0.89209,0.00337325,0.00337325,0.00337325
63,36656.2,0.39191,0.6249,1.17406,0.97836,0.95709,0.99059,0.89382,0.4744,0.40048,0.89791,0.00322778,0.00322778,0.00322778
64,37237.9,0.3871,0.59963,1.17,0.97318,0.9804,0.99345,0.89426,0.50725,0.4467,0.91219,0.00308412,0.00308412,0.00308412
65,37826.1,0.3881,0.61336,1.17144,0.97703,0.98149,0.99414,0.89703,0.48392,0.38023,0.89911,0.00294239,0.00294239,0.00294239
66,38406.4,0.38444,0.60777,1.16781,0.98677,0.9665,0.99397,0.90123,0.5032,0.42998,0.92054,0.00280275,0.00280275,0.00280275
67,38981.3,0.37175,0.59459,1.16042,0.97824,0.97955,0.99352,0.89217,0.5163,0.37868,0.9598,0.00266532,0.00266532,0.00266532
68,39561.2,0.37334,0.59166,1.16478,0.98408,0.99285,0.99493,0.88789,0.49035,0.30019,0.91685,0.00253024,0.00253024,0.00253024
69,40146.8,0.3862,0.61087,1.17423,0.97325,0.98037,0.99387,0.90431,0.45252,0.36705,0.87738,0.00239766,0.00239766,0.00239766
70,40725.9,0.37945,0.58273,1.16539,0.99125,0.9921,0.99478,0.91373,0.47994,0.35202,0.90166,0.00226769,0.00226769,0.00226769
71,41312.1,0.37023,0.57031,1.16472,0.99351,0.98891,0.99444,0.90586,0.48447,0.36588,0.91401,0.00214046,0.00214046,0.00214046
72,41894.5,0.3808,0.59284,1.16557,0.99215,0.97858,0.99424,0.91371,0.46463,0.35759,0.87859,0.00201611,0.00201611,0.00201611
73,42482.5,0.36728,0.57572,1.1597,0.99636,0.98539,0.99475,0.91084,0.47536,0.36937,0.88857,0.00189475,0.00189475,0.00189475
74,43074,0.37287,0.57377,1.16876,0.99536,0.99593,0.99471,0.90673,0.46397,0.36666,0.8732,0.00177651,0.00177651,0.00177651
75,43660.4,0.35778,0.557,1.1451,0.9867,0.99136,0.99487,0.9144,0.44245,0.35251,0.8458,0.00166149,0.00166149,0.00166149
76,44254.6,0.3566,0.53973,1.14849,0.99632,0.99698,0.995,0.91045,0.46925,0.34275,0.8673,0.00154982,0.00154982,0.00154982
77,44848.1,0.36586,0.56233,1.15716,0.99083,0.99698,0.995,0.91254,0.46569,0.37393,0.86949,0.00144161,0.00144161,0.00144161
78,45453.6,0.36067,0.55584,1.15244,0.98495,0.99585,0.99493,0.90219,0.4786,0.37627,0.88295,0.00133695,0.00133695,0.00133695
79,46053.3,0.35913,0.56096,1.15267,0.99059,0.98826,0.9949,0.90705,0.45906,0.37361,0.87315,0.00123596,0.00123596,0.00123596
80,46644.2,0.3565,0.56052,1.15391,0.99492,0.99413,0.99497,0.90861,0.47288,0.39439,0.88599,0.00113873,0.00113873,0.00113873
81,47244.3,0.35328,0.55369,1.14997,0.98959,0.99828,0.99493,0.90595,0.44998,0.35182,0.86109,0.00104537,0.00104537,0.00104537
82,47845.5,0.35944,0.54499,1.15419,0.9975,0.98823,0.995,0.90364,0.45537,0.3576,0.85615,0.000955951,0.000955951,0.000955951
83,48429.1,0.35495,0.55215,1.15221,0.99148,0.98673,0.99473,0.90121,0.45204,0.39065,0.86323,0.000870577,0.000870577,0.000870577
84,49034.8,0.34655,0.54377,1.14742,0.99581,0.99374,0.99497,0.91078,0.46471,0.40055,0.88501,0.000789327,0.000789327,0.000789327
85,49628.7,0.34801,0.53426,1.14713,0.9901,0.99796,0.99497,0.9116,0.4679,0.39061,0.89239,0.000712282,0.000712282,0.000712282
86,50207.5,0.15673,0.16216,1.11171,0.99215,0.99096,0.99496,0.91623,0.45929,0.39693,0.87212,0.000639518,0.000639518,0.000639518
87,50786.7,0.15429,0.14145,1.10285,0.99231,0.99154,0.995,0.91721,0.44232,0.41649,0.85603,0.000571106,0.000571106,0.000571106
88,51363.4,0.14918,0.13921,1.10348,0.99774,0.99937,0.995,0.9165,0.44776,0.41511,0.86114,0.000507115,0.000507115,0.000507115
89,51940.7,0.14668,0.12304,1.09738,0.99397,0.99839,0.995,0.91534,0.43956,0.40109,0.84285,0.000447606,0.000447606,0.000447606
90,52523,0.14538,0.12154,1.09932,0.99612,0.9911,0.99496,0.91757,0.43187,0.40022,0.83289,0.00039264,0.00039264,0.00039264
91,53098.5,0.14153,0.11718,1.09778,0.98842,0.99326,0.99489,0.91748,0.43912,0.41522,0.85118,0.00034227,0.00034227,0.00034227
92,53667.9,0.14659,0.11356,1.09726,0.99076,0.99352,0.99493,0.91922,0.42997,0.40732,0.83565,0.000296546,0.000296546,0.000296546
93,54236.4,0.13958,0.11855,1.08636,0.99371,0.98762,0.99496,0.91618,0.43509,0.42519,0.83527,0.000255513,0.000255513,0.000255513
94,54812.9,0.14214,0.11137,1.09606,0.99429,0.99953,0.995,0.91601,0.44117,0.41379,0.84587,0.000219212,0.000219212,0.000219212
95,55394,0.1468,0.11761,1.10237,0.99372,0.99427,0.99496,0.91708,0.43908,0.42446,0.84746,0.000187678,0.000187678,0.000187678
96,55968.2,0.13872,0.11133,1.08837,0.99486,0.99379,0.99493,0.92069,0.43177,0.41598,0.83994,0.000160943,0.000160943,0.000160943
97,56549.6,0.14182,0.11404,1.09723,0.99481,0.99375,0.99496,0.92005,0.43097,0.40308,0.837,0.000139032,0.000139032,0.000139032
98,57130.5,0.14084,0.10967,1.09615,0.99333,0.99355,0.99489,0.91929,0.42958,0.40261,0.83102,0.000121968,0.000121968,0.000121968
99,57713.4,0.1347,0.10888,1.08764,0.99439,0.99479,0.99496,0.91854,0.43485,0.4047,0.8415,0.000109768,0.000109768,0.000109768
100,58363.7,0.14401,0.11359,1.09171,0.99475,0.99373,0.99496,0.91875,0.43211,0.40066,0.83482,0.000102443,0.000102443,0.000102443
